n_rows_raw_mean,n_rows_raw_std,n_rows_used_mean,n_rows_used_std,row_coverage_mean,row_coverage_std,sampling_hz_mean,sampling_hz_std,missing_ratio_before_fill_mean,missing_ratio_before_fill_std,acc_x_mean_mean,acc_x_mean_std,acc_y_mean_mean,acc_y_mean_std,acc_z_mean_mean,acc_z_mean_std,acc_x_std_mean,acc_x_std_std,acc_y_std_mean,acc_y_std_std,acc_z_std_mean,acc_z_std_std,acc_x_rms_mean,acc_x_rms_std,acc_y_rms_mean,acc_y_rms_std,acc_z_rms_mean,acc_z_rms_std,acc_x_range_mean,acc_x_range_std,acc_y_range_mean,acc_y_range_std,acc_z_range_mean,acc_z_range_std,acc_mag_mean_mean,acc_mag_mean_std,acc_mag_std_mean,acc_mag_std_std,acc_mag_rms_mean,acc_mag_rms_std,acc_mag_range_mean,acc_mag_range_std,gyro_mag_mean_mean,gyro_mag_mean_std,gyro_mag_std_mean,gyro_mag_std_std,gyro_mag_rms_mean,gyro_mag_rms_std,dominant_freq_hz_mean,dominant_freq_hz_std,tremor_band_power_4_6hz_mean,tremor_band_power_4_6hz_std,total_power_mean,total_power_std,age,height,weight,q_01,q_02,q_03,q_04,q_05,q_06,q_07,q_08,q_09,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28,q_29,q_30
1303.2727272727273,466.78252117867703,1252.7727272727273,466.7828017211901,1.0,0.0,99.69834379836134,0.3662702711109204,0.0,0.0,-0.016340296463686944,0.06754596762286615,0.01685023052966425,0.03860837591736081,-0.005637755607183755,0.05382714091406544,0.07708041256004652,0.0955854189226098,0.10804792072582296,0.13774247579483892,0.13182389045671386,0.1930166380349248,0.08604104824731793,0.11149772155704933,0.11087038312919172,0.14171133852379714,0.134821033143226,0.19822188267032556,0.5365091606888985,0.655400686543576,0.8256231413985007,1.0151224369897158,1.0691898222960086,1.5686372148395518,0.15324699751230045,0.20959590055472596,0.12665659360133652,0.16182092399418038,0.20030329557296664,0.26353225738115293,0.959592238719559,1.3969197929129515,0.8338658079531654,1.3020461776702585,0.6173957281794366,0.8231531711682143,1.0530957211481993,1.5289746785284326,0.7224866443229181,2.1009212207711774,0.002884549581804716,0.0061793440356340485,20.105842912684064,33.417378252938214,72,178,74,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1303.2727272727273,466.78252117867703,1252.8636363636363,466.7261147972826,1.0,0.0,99.72619266206355,0.38458132647227045,0.0,0.0,-0.0067306490431844005,0.1261073092893084,0.009016099748048168,0.024524534791358084,0.021708426706701554,0.04486553811556585,0.10318505991275835,0.1271817268473758,0.08708994504292225,0.10856007168186069,0.1124942345650358,0.1447288142785218,0.1242073236303905,0.16458970271366707,0.08831380980621796,0.11057480468293383,0.1162903191786731,0.1500271852567424,0.7591223786851097,0.9376123085165534,0.634338129634827,0.653212557248702,0.7588670161586614,0.8497203884261287,0.14971877915056067,0.20314386991044842,0.11951960879037168,0.14368623222307003,0.19370967885487325,0.2470115001637326,0.7807518247870502,0.9710089296934517,0.9864776905480088,1.39703846684425,0.8500664280552914,1.0373745323239896,1.3177647914801052,1.7272192838096556,0.3850412959573473,0.29677737441540875,0.0022570210156800377,0.004845667029186347,16.583014453998565,27.608956883678797,48,172,79,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0
1303.2727272727273,466.78252117867703,1252.8181818181818,466.7543084060224,1.0,0.0,99.69383444492524,0.36063111243633433,0.0,0.0,-0.00027617374530509444,0.04718943638142241,0.02287985887976066,0.05630842158028668,0.018416111606160128,0.06407024673884391,0.07569230815837319,0.0882395682114858,0.0886344536798215,0.10662914955395605,0.12459628294751296,0.1926645761544589,0.08234530598742454,0.09432789957166422,0.09474390690983604,0.1178774794170995,0.13212131634230262,0.19874957557470774,0.4429459971449244,0.4661762574359193,0.5916856412636203,0.6311385113009016,0.8057358053803576,1.2069211657396546,0.16056877109465684,0.2127736569700215,0.09514661657240729,0.12388620252099106,0.18872083360798386,0.24449436661445947,0.6696563378866155,0.9718007397183067,0.8512239999101027,1.1589212057425906,0.593987995636806,0.7005601267122625,1.0521344221814917,1.3423889090215608,0.5794557302340132,0.9135316393422119,0.0011299912559532773,0.0021887415448401627,11.606266787428156,24.17866796825576,64,170,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303.2727272727273,466.78252117867703,1252.7727272727273,466.7828017211901,1.0,0.0,99.68973218747011,0.3707704531008859,0.0,0.0,-0.007937563112654323,0.030921000632236847,0.006050667452920274,0.010059577070746398,0.006283118545930327,0.017856035533991198,0.06423286120626702,0.05460699078163932,0.09310109497596936,0.08742976798496642,0.08019770390000044,0.08254323920763325,0.06752532342194001,0.05951651091261091,0.09348706320662727,0.08770172469171887,0.08138553098323982,0.08341889475564808,0.40825625067466226,0.3370837664703575,0.6910403497704701,0.662018879022666,0.5629789088518959,0.5562901683953382,0.12239290551461864,0.11618879335451132,0.07451279053847111,0.06375379575553286,0.1453578973827765,0.13011259168254763,0.5292056809056912,0.5199340512989691,0.694895095762304,0.8115761476978204,0.4805112711891832,0.4761796574236617,0.8638306829839949,0.9224672164448072,1.3219215372662259,2.9438129868032146,0.00046399963090052804,0.0007764710731556011,4.7808095576031056,6.142486939236418,48,161,68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
1303.2727272727273,466.78252117867703,1252.8181818181818,466.7543084060225,1.0,0.0,99.6992256197872,0.3653016527888637,0.0,0.0,0.007022758644993691,0.08798051507515153,0.019117740977476413,0.0397366265923226,0.006891981307277373,0.034358338322858346,0.07006521111654375,0.0846266035228073,0.11926790811911246,0.1645045209641494,0.1120763782545564,0.14313217747192314,0.08693510417467064,0.11030233390678953,0.12148722889217148,0.1685847624712491,0.11412542986936214,0.1455920777906929,0.5229330832137637,0.6239092414702775,0.7489318971853351,0.8980798233660964,0.7339348348786882,0.8675111523943226,0.16405165954963954,0.22496587951513825,0.0938284642549529,0.10393384547249825,0.19313465576401362,0.2444005874289358,0.7058796828617949,0.8316957388056904,0.9712068779750606,1.4407097761736303,0.6556259934172298,0.8317899890173157,1.187863944678696,1.6512445352065759,1.5343725768192045,3.3918573336301274,0.0018833913555167774,0.0036869271172653975,9.327708522233396,12.791895115967726,66,178,108,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1303.2727272727273,466.78252117867703,1252.7727272727273,466.7828017211901,1.0,0.0,99.70570999970613,0.37587044006135,0.0,0.0,0.0006235323972037609,0.07687387034839174,0.01295305376634389,0.023421771835485064,0.004074557093117332,0.025542438168433813,0.06829338637685196,0.07523282412231291,0.06862151336638042,0.0801975848644921,0.09687987215708076,0.1162242850820601,0.08270253938682647,0.09633206440038948,0.07063677080771298,0.0827669017443737,0.09828679086369162,0.11775524844276807,0.43312903764292743,0.4515984956995201,0.5135840480666259,0.5481907877754695,0.6830857164425002,0.7409017934120006,0.11622388034166418,0.14851883307742264,0.08611451419457711,0.09245656210008422,0.14904446608998742,0.17098923839307992,0.540300169087363,0.5915495040794451,0.7612746483776192,1.0427140975359273,0.6534878747546826,0.8031809898066411,1.021304748699237,1.301159209362048,0.5948427568584068,0.6056481629767927,0.000860097876443194,0.001576973268728289,7.601047819795583,9.493423721348158,48,172,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303.2727272727273,466.78252117867703,1252.7727272727273,466.78280172119014,1.0,0.0,100.14431184835611,0.6165054790183796,0.0,0.0,-0.006613742199336748,0.07274460856920498,-0.011620487411441298,0.06223437378032807,0.022090103574604607,0.06654256210914153,0.07068288518580304,0.07855409381901217,0.09764925850729438,0.13814904059522662,0.11188920482785605,0.15351103165994373,0.08165912139683941,0.09871686928229512,0.10591553848292096,0.14596954922837663,0.11710691683917653,0.1649711733448819,0.47296764671557256,0.4402179901119911,0.7954985337127927,0.9963230421653099,0.8200856001807828,0.9825083974749802,0.14258438080641508,0.20323281466738535,0.10733258810890792,0.12934969880568228,0.18207674541588872,0.23799608012627166,0.8182846932532484,1.0226925787831305,0.8703133970102012,1.3461897572121126,0.5962822256062793,0.7103684144245483,1.0776327799510899,1.5051108548003604,0.4930039816056734,0.7401922571292512,0.0035980230631613513,0.008268243560249567,13.475420295069481,23.63934530962283,70,170,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303.2727272727273,466.78252117867703,1252.8636363636363,466.72580871372486,1.0,0.0,99.71276027727687,0.38236621333402165,0.0,0.0,-0.04080583353126468,0.08277468325357837,-0.002866024539803023,0.03381760024827888,-0.0002534056407423453,0.012246248235238228,0.0543397837922257,0.05787633918057389,0.07250142661585773,0.0897141155926818,0.0766256775984699,0.09808286604295909,0.07306911251181776,0.0971556562691991,0.07540895106940904,0.09346884930030964,0.07719325552463824,0.0982987980714431,0.35124447946213855,0.33241924299856274,0.4838265987859774,0.5576365628062662,0.597173632853442,0.7613228164960091,0.10523218641592423,0.14034933464781646,0.08007035079385395,0.08735314561819577,0.13582265064440516,0.16218886287094658,0.5434344162997632,0.6585073450559165,0.7607388741037776,1.0852447132137766,0.5586785608381756,0.6218064567935835,0.9711539628420649,1.2283654336128136,0.5962551122447665,0.7881392763363562,0.0011612050541446506,0.0024446274737641876,6.675886993238675,9.572555168449048,66,175,90,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0
1303.2727272727273,466.78252117867703,1252.7727272727273,466.7828017211901,1.0,0.0,99.69740909935582,0.36353562997922717,0.0,0.0,-0.03196906214867676,0.06722308598330823,-0.004000357612907385,0.033798655421515104,0.005827617280342182,0.03553023569545247,0.04586328997878964,0.044375697748527336,0.06717131216225623,0.08158192398727712,0.06975323521191766,0.08339904584650384,0.06257913897324385,0.07520353319003899,0.06975587252435682,0.08621088157049606,0.07275912362786131,0.08827382028288203,0.2855585222172237,0.2529102449520582,0.5717567694161224,0.7921092474998772,0.47882178834196343,0.5149034397048973,0.10000197529511629,0.1318347967735173,0.06263431360766854,0.060559338893699216,0.12143305498646734,0.14204992271604622,0.48193563104773995,0.5402696202520596,0.6894186634153229,1.0423458674038633,0.5350848059613122,0.6901985868329364,0.8915343245654221,1.2358236994764227,0.7006277862837346,0.8383521040732956,0.000531092892310558,0.0008005139427333361,3.6332488170346546,4.628858021495347,56,190,102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1303.2727272727273,466.78252117867703,1252.7272727272727,466.8112886603956,1.0,0.0,99.7091895569579,0.3613033319799873,0.0,0.0,-0.012280768830111822,0.07229420836045447,0.006650901498022991,0.020850751604655125,0.015027365502015355,0.055193335760992515,0.0562205454934518,0.0619343085825243,0.09293437270582668,0.08271244473991043,0.09500064647345668,0.12580910013194432,0.06757742846800549,0.0879778597153386,0.09430209827609666,0.08390077484503575,0.10224429753067253,0.13262011914570415,0.415184782431461,0.38559778964817903,0.6792368978803496,0.5591868820393692,0.694038180787395,0.8135606342479954,0.13397147795634384,0.14058685310868127,0.09651197063835922,0.09546106761510025,0.16676676919042774,0.16817928649665667,0.6186752498924286,0.6533006258042348,0.9208597984971231,1.046432576607915,0.6428709369397901,0.6140249830275282,1.1378133802416963,1.1984524709699338,1.0521668075897077,2.7253020413201763,0.0008409162559434205,0.0012751279185138152,9.243731602000823,13.370315923929411,56,189,110,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
